IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
9d386ab9dbcf8c3f53967f7d9b99600d76e104c173b7969fb5ff27d31d5bfff9,8d55ff1e4cb197c081d375d2d386c52c060eb619350f30fccac5df9a13f5fb36,623.0,udp,10.0,High,99,VendorFix,IPMI Cipher Zero Authentication Bypass Vulnerability (IPMI Protocol),"Intelligent Platform Management Interface (IPMI) services are
  prone to an authentication bypass vulnerability.","The remote IPMI service accepted a session open request for cipher zero.
",1.3.6.1.4.1.25623.1.0.103840,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-12T01:07:04Z,b9bc7f43-44d9-41e2-a0ad-33fc72c21e3b,"Attackers can exploit this issue to gain administrative access to
  the device and disclose sensitive information.",Ask the Vendor for an update.,,"The remote IPMI service accepted a session open request for
  cipher zero.","Sends a request with a zero cipher and checks if this request
  was accepted.
Details:
IPMI Cipher Zero Authentication Bypass Vulnerability (IPMI Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.103840)
Version used: 2024-03-21T05:06:54Z
",,,,
7d5608be19e3768403f54092b9afd6428076a6a86349663d1c5a4477aadacbcb,bd6d540fc8b67183a59500f416e8c990e0c8b7de5e975a924b17f49674d88905,623.0,udp,10.0,High,99,VendorFix,IPMI Cipher Zero Authentication Bypass Vulnerability (IPMI Protocol),"Intelligent Platform Management Interface (IPMI) services are
  prone to an authentication bypass vulnerability.","The remote IPMI service accepted a session open request for cipher zero.
",1.3.6.1.4.1.25623.1.0.103840,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-12T01:19:33Z,b46864ed-c2c5-431d-b0e5-0b8afb8be86a,"Attackers can exploit this issue to gain administrative access to
  the device and disclose sensitive information.",Ask the Vendor for an update.,,"The remote IPMI service accepted a session open request for
  cipher zero.","Sends a request with a zero cipher and checks if this request
  was accepted.
Details:
IPMI Cipher Zero Authentication Bypass Vulnerability (IPMI Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.103840)
Version used: 2024-03-21T05:06:54Z
",,,,
1598d1ebe530f5b9cf6b3038906ef9f71938a1e8302cf3634189b7f757b27158,,,,10.0,High,80,Mitigation,Operating System (OS) End of Life (EOL) Detection,"The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:12.04
Installed version,
build or SP:       12.04
EOL date:          2017-04-28
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-12T01:14:02Z,d65f3894-56a1-434b-84d2-fc9bb1acc184,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.",,,"Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/o:canonical:ubuntu_linux:12.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
",,,
cd54b8835e97d5a36abe5f27ff727e09da37a106717451eb12c5398d4537d403,,,,10.0,High,80,Mitigation,Operating System (OS) End of Life (EOL) Detection,"The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:12.04
Installed version,
build or SP:       12.04
EOL date:          2017-04-28
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-12T02:18:38Z,f6733fbd-db86-4ca8-98b8-598171ea26c1,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.",,,"Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/o:canonical:ubuntu_linux:12.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
",,,
3a9d42dc76cfc9c65c3bb779d648201a59d3e847730083b843fdd11a9a7063eb,f3cc8124b246ba166c09d386c3d1605e44c78fcc3a5c8887db2ad675a18d8738,623.0,udp,10.0,High,80,Workaround,IPMI No Auth Access Mode Enabled (IPMI Protocol),"The remote Intelligent Platform Management Interface (IPMI)
  service has the 'No Auth' access mode enabled.","The remote IPMI service has the 'No Auth' access mode enabled.
",1.3.6.1.4.1.25623.1.0.103837,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-12T01:01:07Z,bfe7f354-ba8a-4136-8b1b-b992829417ea,,"Disable the 'No Auth' access mode. Please contact the vendor /
  consult the device manual for more information.",,,"Evaluates information gathered by the VT 'Intelligent Platform
  Management Interface (IPMI) Detection (IPMI Protocol)' (OID: 1.3.6.1.4.1.25623.1.0.103835).
Details:
IPMI 'No Auth' Access Mode Enabled (IPMI Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.103837)
Version used: 2024-03-21T05:06:54Z
",,,,
61676225651e06d8040664d3b0159cb7fdca729b5756e4ab1799d2ac510a512e,,,,10.0,High,80,Mitigation,Operating System (OS) End of Life (EOL) Detection,"The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:12.04
Installed version,
build or SP:       12.04
EOL date:          2017-04-28
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-11T23:55:17Z,cf43012d-9a0f-4ff0-adc5-d7954a4588dc,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.",,,"Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/o:canonical:ubuntu_linux:12.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
",,,
2e78ad65b07a722767e2de66021fe8aa9efcc3d7487ec33ea79e1e6abdf7a904,,,,10.0,High,80,Mitigation,Operating System (OS) End of Life (EOL) Detection,"The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:12.04
Installed version,
build or SP:       12.04
EOL date:          2017-04-28
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-12T00:33:37Z,b75aa14f-0771-4e84-a691-0c4b267d91a1,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.",,,"Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/o:canonical:ubuntu_linux:12.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
",,,
04146d6115a0be0f9b8d0856a2778f2e3fb9518ce8fc39665a04d7c9288f59f7,,,,10.0,High,80,Mitigation,Operating System (OS) End of Life (EOL) Detection,"The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:12.04
Installed version,
build or SP:       12.04
EOL date:          2017-04-28
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-12T01:40:16Z,6db2f236-66f5-4db2-888b-3f1de12b5718,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.",,,"Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/o:canonical:ubuntu_linux:12.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
",,,
7f0ebffa21f5c6bdd8bc5fdaaeebc35ae1eb8977c90306ed5a1528347f8a7d57,,,,10.0,High,80,Mitigation,Operating System (OS) End of Life (EOL) Detection,"The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:12.04
Installed version,
build or SP:       12.04
EOL date:          2017-04-28
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-12T00:33:10Z,aa1b7036-f3c5-4eea-8d41-1d372449c7db,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.",,,"Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/o:canonical:ubuntu_linux:12.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
",,,
6baf64815ef536a2c9bc03085b5e2dfd211e27cde315cf4cafc9dd45c6e1e528,d6885a80e5c12cac2407c61d41a2c2f3914977ef057f30bca05722e765700693,,,10.0,High,80,Mitigation,Operating System (OS) End of Life (EOL) Detection,"The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:12.04
Installed version,
build or SP:       12.04
EOL date:          2017-04-28
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,,3178055c-b36b-4a35-a136-1f8bd9ac278b,Rede speed,2024-08-11T23:55:22Z,dc61a006-3460-4829-961a-3248f3e90917,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.",,,"Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/o:canonical:ubuntu_linux:12.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
",,,
